Player_ID,Matches_Played,Runs_Scored,Batting_Average,Strike_Rate,Wickets_Taken,Bowling_Average,Economy_Rate,Recent_Form_Score,Player_Form
102,93,6611,32.93,107.82,92,33.69,7.81,24.11,Poor
103,75,2208,48.43,63.14,44,39.34,8.66,83.04,Good
104,13,6413,39.58,112.92,61,28.73,8.68,20.38,Poor
105,92,1079,25.53,168.26,29,19.75,3.49,39.51,Poor
106,133,227,59.72,162.79,269,24.52,5.62,27.35,Poor
107,140,6992,11.92,109.08,9,16.53,5.94,4.78,Poor
108,67,148,18.11,62.67,5,18.07,8.93,56.17,Average
109,143,1069,54.63,136.36,18,22.17,6.51,62.88,Average
110,85,5263,13.03,148.94,11,34.64,6.42,79.11,Good
111,140,7917,54.34,95.31,191,49.75,6.88,41.47,Average
112,167,7951,45.76,117.2,102,44.53,3.89,14.13,Poor
113,167,4727,11.83,179.02,249,18.01,6.96,65.22,Average
114,37,1363,31.47,129.16,243,44.48,6.86,89.01,Good
115,127,4508,47.72,102.13,194,33.77,8.28,11.98,Poor
116,9,1755,39.16,135.3,264,38.11,7.44,18.26,Poor
117,45,519,56.79,81.6,133,19.54,9.69,32.92,Poor
118,32,5463,53.38,83.91,176,28.84,3.56,65.03,Average
119,139,6530,26.63,170.99,98,45.94,8.4,52.38,Average
120,76,3544,14.23,88.7,29,29.89,8.26,71.24,Good
121,16,2322,57.21,97.29,290,19.45,4.89,3.13,Poor
122,166,6496,35.86,125.25,62,25.89,7.89,81.05,Good
123,37,7233,13.72,167.96,27,22.75,7.62,98.75,Good
124,52,1102,50.83,153.77,145,39.04,5.09,4.67,Poor
125,155,597,53.43,65.25,287,46.89,8.07,49.54,Average
126,66,5755,41.97,143.16,68,40.67,9.51,73.99,Good
127,41,3273,32.38,120.49,251,44.53,5.14,47.64,Average
128,103,4049,43.11,117.07,161,43.2,9.86,59.29,Average
129,176,5781,45.33,142.99,109,15.51,4.57,92.09,Good
130,108,2605,54.65,83.55,131,19.35,3.94,53.98,Average
131,39,6256,57.79,177.78,270,29.82,3.54,23.66,Poor
132,197,7258,35.72,137.44,187,18.92,4.5,73.86,Good
133,105,2188,49.92,103.88,19,40.72,5.4,37.54,Poor
134,179,7456,58.23,132.02,275,17.46,8.13,28.51,Poor
135,135,6020,17.56,85.98,176,29.57,3.5,24.84,Poor
136,5,4825,10.91,136.06,98,28.73,6.55,7.94,Poor
137,9,588,53.45,63.39,246,34.02,6.63,93.29,Good
138,146,6554,19.76,100.94,17,37.03,4.6,56.34,Average
139,107,4472,12.12,149.7,288,48.14,3.32,95.51,Good
140,31,1407,18.0,156.96,124,24.49,4.58,86.18,Good
141,141,5965,29.21,90.35,152,38.31,4.61,3.02,Poor
142,19,7319,20.96,124.73,68,16.23,7.82,24.73,Poor
143,94,4846,25.26,123.42,145,15.04,4.64,31.54,Poor
144,46,4722,58.76,110.57,44,15.89,5.38,48.98,Average
145,128,3390,45.22,87.41,19,30.71,3.33,71.61,Good
146,183,3440,45.61,144.39,290,34.43,7.37,68.08,Average
147,67,1629,14.73,90.28,246,15.22,6.32,98.73,Good
148,100,994,46.6,169.32,202,28.87,5.41,92.33,Good
149,56,5679,46.97,123.42,8,16.43,7.92,18.63,Poor
150,100,4798,42.99,164.46,179,37.86,7.77,85.99,Good
151,136,6605,21.42,94.89,155,37.09,5.3,84.29,Good
152,155,2059,31.15,156.85,18,42.45,7.97,57.48,Average
153,147,5275,52.31,73.64,102,34.12,5.44,33.81,Poor
154,175,7851,43.51,152.02,245,36.8,4.55,20.86,Poor
155,33,4572,46.64,106.43,84,24.78,8.04,21.25,Poor
156,40,2986,39.37,116.4,233,17.99,8.1,33.78,Poor
157,17,400,32.48,80.02,134,40.81,9.06,50.39,Average
158,164,2855,47.95,62.24,36,36.42,6.51,58.38,Average
159,75,2224,13.4,139.94,91,47.84,4.63,32.5,Poor
160,191,3412,43.66,130.53,291,49.62,8.86,35.66,Poor
161,90,56,59.86,134.69,16,44.65,4.22,1.35,Poor
162,32,1875,49.01,90.6,89,49.5,9.57,0.21,Poor
163,70,4543,24.53,88.71,164,37.66,5.15,90.72,Good
164,174,4298,23.89,159.64,252,18.22,3.13,1.4,Poor
165,49,3768,43.36,151.35,80,18.14,4.31,3.31,Poor
166,66,5752,54.79,100.41,183,43.25,5.9,20.56,Poor
167,189,4833,38.9,136.54,289,23.29,3.39,74.34,Good
168,138,4297,36.37,159.38,248,17.13,5.87,67.89,Average
169,32,1353,18.02,166.66,214,31.53,4.42,64.72,Average
170,32,2410,45.77,60.7,157,26.01,3.13,57.5,Average
171,112,4987,45.11,157.62,178,35.59,5.09,20.17,Poor
172,48,6597,58.35,102.05,19,36.01,4.58,39.79,Poor
173,88,6499,25.01,146.21,146,38.85,5.94,47.81,Average
174,34,4311,47.82,104.57,67,35.18,8.31,58.24,Average
175,194,7115,31.7,132.75,76,28.33,6.57,19.84,Poor
176,79,2602,37.92,137.61,101,15.83,8.38,72.9,Good
177,132,2934,50.82,108.6,139,46.68,5.36,30.89,Poor
178,96,22,21.1,121.53,72,26.44,3.09,66.02,Average
179,194,2202,27.14,147.16,206,32.75,9.46,51.4,Average
180,133,1209,48.67,117.16,212,34.49,5.2,59.22,Average
181,125,2296,38.52,61.68,78,26.02,6.69,41.31,Average
182,31,748,14.62,61.55,112,25.8,6.28,44.51,Average
183,194,804,31.51,139.36,252,24.13,7.08,86.82,Good
184,125,133,39.33,161.67,132,23.52,9.19,47.59,Average
185,120,4416,55.48,154.23,196,16.06,9.07,79.39,Good
186,7,2437,19.42,97.25,24,48.53,9.87,39.5,Poor
187,107,433,50.3,116.54,100,35.84,6.7,70.05,Good
188,159,5141,16.53,88.1,244,18.78,9.46,23.29,Poor
189,141,4968,22.11,178.7,30,35.72,6.38,91.7,Good
190,66,3671,22.17,91.26,289,23.13,3.31,96.73,Good
191,169,3736,53.87,109.95,255,25.87,4.02,90.13,Good
192,55,7292,19.95,141.74,205,43.04,5.34,34.64,Poor
193,176,7246,49.35,165.12,67,46.0,8.08,27.65,Poor
194,156,7001,33.09,66.18,214,39.49,3.57,18.24,Poor
195,63,4039,59.95,96.12,121,47.64,5.53,87.3,Good
196,122,2098,51.95,128.28,45,46.68,9.88,11.86,Poor
197,164,7895,46.99,134.2,68,34.29,8.5,64.23,Average
198,100,6319,53.54,68.4,26,46.77,7.0,33.15,Poor
199,184,2917,41.7,139.69,170,34.07,3.43,18.79,Poor
200,117,252,52.18,123.37,244,18.65,3.1,18.45,Poor
201,66,5061,23.06,159.32,273,44.03,3.74,87.1,Good
202,190,7413,14.89,86.66,287,19.59,5.29,85.98,Good
203,56,4834,40.8,83.4,248,26.06,7.24,27.2,Poor
204,16,1129,31.73,155.2,1,28.29,4.38,3.38,Poor
205,43,3264,31.32,144.46,19,43.26,3.36,86.91,Good
206,134,5435,36.34,155.0,293,17.92,3.64,5.73,Poor
207,135,301,28.07,153.83,256,30.57,5.99,8.47,Poor
208,117,6691,41.3,72.48,248,30.29,8.41,82.19,Good
209,105,1977,11.53,93.43,152,35.38,8.75,81.72,Good
210,117,2763,58.49,91.21,136,27.39,5.04,20.25,Poor
211,188,4005,56.24,172.15,221,35.2,7.64,3.82,Poor
212,85,6922,56.76,118.5,210,49.51,5.75,6.3,Poor
213,191,6411,28.25,73.33,188,17.5,9.81,45.34,Average
214,117,3241,36.59,94.75,231,45.61,5.83,41.82,Average
215,6,3057,57.71,164.63,135,25.8,5.77,18.23,Poor
216,134,550,55.12,161.65,15,31.3,6.51,90.9,Good
217,58,5574,49.51,168.04,113,40.94,3.18,55.24,Average
218,91,7818,30.37,106.62,263,46.85,5.93,80.73,Good
219,133,5411,38.22,136.96,278,15.32,8.8,10.37,Poor
220,151,1587,49.65,93.38,72,38.18,7.28,97.35,Good
221,130,1822,23.65,81.7,223,17.43,9.79,80.97,Good
222,134,5920,41.32,62.63,33,33.4,5.28,28.78,Poor
223,57,5260,51.4,86.81,244,41.24,4.13,2.08,Poor
224,176,3217,45.37,132.52,237,20.93,8.25,16.45,Poor
225,164,3496,33.97,168.51,17,41.73,3.31,41.85,Average
226,164,4409,39.23,76.01,43,25.83,4.12,0.3,Poor
227,72,4279,59.43,170.16,142,36.37,6.55,4.08,Poor
228,187,5783,40.1,101.45,14,38.03,8.27,9.86,Poor
229,188,712,49.28,111.22,92,37.71,7.21,80.97,Good
230,127,2175,46.33,103.8,278,15.65,9.96,54.69,Average
231,149,5406,45.07,109.03,214,20.33,7.58,19.1,Poor
232,42,7990,45.82,91.1,248,44.97,8.07,26.45,Poor
233,28,7420,32.72,143.83,70,47.89,9.96,64.22,Average
234,73,4072,33.71,150.98,108,34.73,7.15,31.86,Poor
235,120,3849,33.39,158.77,287,35.89,8.0,68.21,Average
236,102,6843,11.66,100.95,159,41.43,5.09,77.82,Good
237,143,2433,22.05,151.76,288,29.21,6.76,30.66,Poor
238,148,3301,17.73,136.52,170,26.48,9.38,36.65,Poor
239,101,270,54.32,174.95,12,41.89,8.97,5.01,Poor
240,128,1794,23.75,110.97,219,15.99,5.14,81.98,Good
241,191,4906,16.92,179.08,184,45.99,5.5,60.61,Average
242,74,2462,15.99,148.85,208,30.43,8.92,88.83,Good
243,97,4293,45.0,153.15,287,32.65,4.99,18.89,Poor
244,7,3394,10.3,63.08,105,37.2,9.21,96.06,Good
245,152,1079,33.57,119.69,211,24.6,8.42,70.67,Good
246,191,2878,15.94,123.4,231,35.91,4.07,19.66,Poor
247,168,5322,52.48,64.87,212,39.26,8.04,46.3,Average
248,151,7950,57.92,97.46,195,19.13,8.84,69.9,Average
249,94,5740,57.94,174.68,248,33.22,4.01,1.7,Poor
250,199,4723,32.1,111.13,263,26.53,6.2,78.03,Good
251,151,603,42.23,82.4,216,34.51,9.04,94.77,Good
252,152,5257,39.99,121.6,262,15.75,4.39,8.15,Poor
253,100,5541,27.5,64.05,169,40.99,6.14,89.81,Good
254,56,7982,32.2,121.92,155,20.89,7.29,46.44,Average
255,165,5176,13.22,131.31,69,39.13,3.68,51.56,Average
256,172,1585,49.78,102.92,233,41.91,4.48,84.01,Good
257,132,3057,22.04,151.51,53,41.34,6.27,58.97,Average
258,43,6214,33.03,76.29,169,43.61,5.62,35.14,Poor
259,86,5006,34.03,165.38,35,25.77,5.27,73.26,Good
260,108,3985,38.04,174.65,258,48.85,3.18,13.83,Poor
261,133,4689,50.89,60.15,250,15.83,9.5,66.63,Average
262,15,1395,44.59,161.13,12,31.84,9.1,77.46,Good
263,189,3688,43.15,120.73,158,24.46,5.75,33.48,Poor
264,182,599,36.34,115.37,28,40.9,4.27,97.02,Good
265,155,513,14.8,88.64,56,43.18,3.48,64.06,Average
266,163,5991,30.1,113.68,160,43.78,3.86,9.57,Poor
267,46,6227,57.87,174.05,265,25.39,7.21,96.63,Good
268,103,7137,59.78,85.29,229,24.59,8.14,74.4,Good
269,11,1066,46.52,81.48,192,38.69,4.09,69.56,Average
270,148,7833,21.38,89.03,107,47.49,3.79,25.32,Poor
271,94,2886,15.09,126.22,257,23.9,7.84,47.31,Average
272,116,6053,30.74,171.64,109,46.87,6.62,90.11,Good
273,64,2653,52.83,128.87,129,35.7,5.6,30.82,Poor
274,117,4905,46.09,89.22,122,40.83,8.07,42.33,Average
275,6,6276,54.19,112.85,115,30.4,6.19,25.68,Poor
276,133,7562,40.79,106.85,229,43.24,6.26,21.59,Poor
277,52,1088,16.52,65.59,292,48.97,3.11,4.37,Poor
278,144,4385,15.74,121.28,232,20.97,5.21,73.69,Good
279,41,6519,12.4,75.12,233,28.49,3.04,9.08,Poor
280,164,4864,38.35,161.07,295,45.19,9.47,53.13,Average
281,13,2514,22.14,125.88,190,21.18,5.06,4.98,Poor
282,103,3969,46.72,161.35,24,29.45,4.26,98.39,Good
283,151,3284,44.31,174.73,165,20.81,3.64,70.94,Good
284,52,7315,25.91,173.18,292,37.69,3.33,63.04,Average
285,135,7740,18.84,72.05,209,23.34,9.2,18.64,Poor
286,152,4566,15.12,173.38,26,28.33,4.18,52.81,Average
287,156,2196,46.87,155.49,177,32.19,7.32,50.36,Average
288,58,4183,32.52,153.32,43,25.4,7.56,35.86,Poor
289,124,7491,26.18,70.82,71,38.8,5.22,15.61,Poor
290,165,6539,52.83,81.54,221,18.89,8.83,36.71,Poor
291,156,789,39.68,177.02,227,45.79,4.5,60.91,Average
292,120,3475,35.9,85.6,232,31.85,3.5,48.74,Average
293,79,3153,47.17,80.29,267,35.05,3.48,57.0,Average
294,117,1664,50.78,103.48,253,36.77,5.1,57.2,Average
295,168,1309,44.3,169.6,162,17.09,6.24,24.47,Poor
296,170,7549,32.0,117.14,5,41.49,7.41,11.1,Poor
297,108,864,28.96,170.47,46,48.11,8.1,52.18,Average
298,88,3863,48.58,100.12,67,33.2,4.25,89.24,Good
299,116,5389,35.9,87.18,253,28.68,7.79,99.54,Good
300,103,3363,45.22,119.42,58,42.47,4.28,78.59,Good
301,157,3524,54.52,133.86,118,40.21,9.98,22.11,Poor
302,97,3786,55.79,106.98,185,37.78,9.71,63.03,Average
303,150,23,23.89,101.52,47,48.79,3.72,23.89,Poor
304,132,3003,19.39,86.17,190,35.36,7.59,57.65,Average
305,114,5982,23.06,93.0,264,23.69,9.32,48.07,Average
306,86,310,47.57,140.77,171,15.87,3.56,38.16,Poor
307,198,5580,28.5,104.38,45,30.87,3.87,64.16,Average
308,58,1231,18.67,69.57,142,37.83,5.43,85.77,Good
309,167,7959,14.92,76.58,245,21.02,3.67,33.75,Poor
310,193,3788,26.37,104.69,215,15.9,9.2,48.63,Average
311,173,2711,16.81,170.94,175,46.82,9.13,45.58,Average
312,165,6581,17.82,105.48,144,25.57,9.64,24.92,Poor
313,72,7705,44.19,67.28,34,31.31,4.43,42.11,Average
314,37,4801,10.99,110.16,131,18.19,3.32,2.16,Poor
315,146,5455,15.88,140.26,152,28.36,6.11,51.74,Average
316,25,421,52.22,131.23,47,29.83,9.16,72.08,Good
317,52,1773,52.25,93.46,167,46.6,7.47,36.76,Poor
318,152,6464,26.46,142.57,177,45.29,9.99,74.66,Good
319,132,3568,14.4,135.67,262,21.62,9.34,75.07,Good
320,140,6730,45.25,80.66,94,34.46,5.75,98.41,Good
321,139,946,28.01,79.46,290,40.59,3.28,54.59,Average
322,199,1186,12.27,125.66,229,25.21,3.04,40.41,Average
323,149,1834,17.89,139.13,190,28.81,7.51,63.95,Average
324,132,1564,16.86,175.43,143,49.47,9.41,62.66,Average
325,37,7332,39.46,110.63,163,41.59,6.11,98.73,Good
326,180,4944,54.91,151.79,18,30.3,9.12,70.77,Good
327,191,7865,49.65,73.98,67,33.69,6.97,30.66,Poor
328,119,5685,37.33,166.75,97,36.9,3.69,18.75,Poor
329,123,5414,31.11,135.97,6,32.46,8.59,79.27,Good
330,26,6185,40.93,135.48,176,29.41,6.45,17.98,Poor
331,162,1947,32.19,77.09,205,27.58,3.36,62.74,Average
332,42,1308,22.3,64.75,298,20.91,8.7,13.23,Poor
333,113,2986,43.96,144.17,287,49.08,8.3,71.87,Good
334,55,386,53.66,74.05,228,18.2,6.2,78.29,Good
335,186,6131,28.64,75.24,118,36.04,3.14,99.05,Good
336,12,1161,52.08,82.5,269,48.59,5.43,95.42,Good
337,31,3258,31.55,71.73,80,28.12,6.04,71.38,Good
338,31,6121,30.07,135.05,159,23.83,4.16,27.75,Poor
339,25,7053,11.42,110.64,187,48.44,4.13,4.37,Poor
340,34,4811,44.76,91.93,187,43.06,4.17,55.52,Average
341,101,6574,50.38,112.89,193,37.93,5.59,76.6,Good
342,32,6697,43.18,161.3,259,36.42,8.72,1.06,Poor
343,115,3933,17.57,171.25,190,27.6,8.32,52.48,Average
344,196,7583,15.16,118.5,288,37.45,3.07,88.29,Good
345,65,2847,38.64,128.01,105,40.38,3.07,63.72,Average
346,52,4521,30.08,90.86,128,16.11,3.54,68.38,Average
347,151,1439,31.45,121.63,96,19.12,6.27,47.43,Average
348,8,6169,58.39,149.77,63,26.03,9.22,94.32,Good
349,39,3442,46.2,119.06,127,26.31,4.28,37.46,Poor
350,196,4480,30.59,96.25,222,46.52,6.34,37.91,Poor
351,53,55,10.95,129.84,292,38.96,3.29,51.77,Average
352,21,3324,11.7,173.6,103,28.07,3.14,58.59,Average
353,176,6777,44.24,166.56,151,43.32,3.05,53.74,Average
354,162,105,51.89,152.31,113,26.31,8.16,81.86,Good
355,50,3201,45.39,93.15,54,49.68,3.17,83.45,Good
356,121,6992,30.29,88.99,120,42.36,4.92,13.17,Poor
357,10,669,11.56,160.62,216,43.29,7.52,59.62,Average
358,103,4471,58.37,81.76,122,24.13,7.33,98.39,Good
359,128,742,59.32,132.67,2,20.08,3.39,59.97,Average
360,41,966,37.47,112.67,91,28.63,4.8,68.82,Average
361,28,307,13.53,116.16,163,26.7,7.48,86.14,Good
362,97,2138,37.05,114.55,118,41.94,5.75,86.66,Good
363,50,3464,54.62,167.99,60,21.1,6.26,1.72,Poor
364,185,7701,44.0,70.45,213,33.46,4.45,23.94,Poor
365,99,4897,46.0,153.95,246,36.99,3.26,86.29,Good
366,103,109,14.25,160.2,234,28.48,5.42,66.71,Average
367,192,3632,15.33,173.15,288,22.02,7.78,63.17,Average
368,120,5760,16.37,114.31,77,46.35,8.37,85.99,Good
369,195,6728,55.22,120.01,23,19.86,7.15,80.66,Good
370,164,4435,36.29,175.36,100,25.63,5.75,75.14,Good
371,165,5684,49.58,115.01,250,41.48,7.08,4.74,Poor
372,71,5074,15.76,120.43,122,36.19,7.93,78.17,Good
373,132,6499,56.38,99.87,214,40.57,8.29,20.06,Poor
374,22,1915,51.06,63.8,261,43.31,3.66,2.6,Poor
375,29,4263,21.24,111.97,122,46.34,8.62,49.19,Average
376,58,556,53.71,138.61,251,25.66,3.44,94.24,Good
377,62,7619,23.17,142.79,157,31.6,9.09,88.65,Good
378,71,5000,20.27,60.78,148,39.09,5.75,98.21,Good
379,108,104,23.21,156.13,64,42.82,6.83,24.65,Poor
380,178,2047,55.5,119.09,3,35.22,5.03,69.54,Average
381,28,6293,55.78,122.49,173,32.98,5.99,5.58,Poor
382,118,145,26.45,175.41,135,39.21,8.92,80.35,Good
383,36,2763,45.27,94.14,243,28.37,5.07,52.38,Average
384,179,873,43.79,151.4,59,46.28,6.95,99.63,Good
385,90,298,50.33,128.97,44,22.43,7.53,24.0,Poor
386,155,3238,24.83,144.1,71,45.94,4.02,78.46,Good
387,198,5832,35.51,110.14,94,37.53,8.44,17.1,Poor
388,131,645,43.38,93.5,30,36.02,9.99,28.72,Poor
389,159,6866,11.31,125.54,155,31.45,4.09,29.56,Poor
390,134,7215,28.84,104.99,239,20.42,8.38,57.79,Average
391,21,4733,44.79,86.75,63,45.27,4.03,36.51,Poor
392,108,6382,22.63,160.71,108,16.84,9.65,43.87,Average
393,165,3078,57.89,117.1,67,24.45,5.88,52.18,Average
394,141,2511,11.51,161.68,34,18.84,9.86,5.62,Poor
395,47,6596,57.9,116.88,250,18.74,3.48,66.54,Average
396,180,783,20.84,126.82,35,28.66,8.54,64.93,Average
397,43,4992,12.44,179.43,131,20.61,6.31,96.48,Good
398,174,370,24.62,174.18,221,35.35,5.03,13.34,Poor
399,30,7716,49.31,92.6,166,36.95,8.24,3.1,Poor
400,103,486,47.62,164.24,273,45.87,7.45,13.32,Poor
401,54,7378,20.44,106.85,59,25.49,9.32,42.25,Average
402,157,2037,19.84,68.55,112,25.82,4.74,21.39,Poor
403,156,6308,42.13,129.09,220,23.62,9.58,21.63,Poor
404,17,3196,32.9,177.25,278,42.36,7.49,86.94,Good
405,64,1360,49.61,176.92,67,29.98,6.15,32.38,Poor
406,139,4287,11.21,75.18,262,34.33,3.37,41.68,Average
407,61,4825,40.52,152.55,268,28.11,8.36,68.42,Average
408,40,2261,46.53,156.34,130,20.49,9.01,33.99,Poor
409,177,2621,59.67,104.25,266,18.59,8.67,55.44,Average
410,24,7495,43.94,139.03,207,45.39,8.15,52.29,Average
411,69,956,21.59,118.58,211,24.29,9.79,26.15,Poor
412,12,380,15.41,87.35,50,47.96,8.94,71.71,Good
413,148,6816,42.05,151.35,287,48.16,9.5,83.41,Good
414,146,3649,36.16,91.53,41,31.76,8.11,78.35,Good
415,119,4893,54.96,100.85,246,48.55,8.74,39.53,Poor
416,147,238,46.33,82.8,194,16.0,5.02,93.3,Good
417,96,7699,35.49,146.31,243,18.21,7.68,89.9,Good
418,102,6843,30.18,115.05,199,23.52,4.44,26.68,Poor
419,70,1105,30.22,113.2,120,22.32,3.48,12.39,Poor
420,36,1386,21.32,132.55,202,23.84,7.05,89.38,Good
421,195,2552,10.87,78.87,105,30.83,8.48,74.49,Good
422,90,2249,38.75,167.78,249,17.2,3.58,31.1,Poor
423,55,7063,20.62,115.81,288,34.44,4.27,30.49,Poor
424,157,1527,20.42,103.98,78,25.83,3.65,32.22,Poor
425,190,1667,16.27,75.2,164,17.5,7.44,86.13,Good
426,67,4132,19.48,80.15,118,41.36,3.56,24.02,Poor
427,194,2691,11.59,170.44,56,37.87,3.65,65.11,Average
428,129,7756,43.71,114.79,187,42.77,4.85,83.44,Good
429,154,3672,30.07,146.66,51,47.87,4.89,38.73,Poor
